advertiser-role,available,brand,days-old,early-bird,id,neighbourhood,postcode,price-per-month,price-per-week,property-type,property-type-more,rooms-in-property,scp,status,title,type,error,date scraped
agent, 1 Jun,bold,5,,12234769,Chelsea,SW10,"£4,000 pcm",£1pw,flat,,4,Y,new,Amazing Flat in SW10 for a group of 6 people max,offered,False,2020-01-27 02:47:34.811272
live in landlord,Available Now,bold,6,,14345932,St Pancras,NW1,£650pcm,£150pw,flat,,3,,new,So central!  Monday to Friday ,offered,False,2020-01-27 02:47:34.811272
live in landlord,Available Now,bold,7,,3162664,Brick Lane,E1,£650pcm,£150pw,flat,,4,,,Shoreditch ,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,10,,14285740,Aldgate East,E1,£620- £650pcm,£144- £150pw,flat,,6,,,2Rooms-21/12/19-ZoNE1-Furnished All Bills Paid,offered,False,2020-01-27 02:47:34.811272
live out landlord,Available Now,bold,15,,8249470,Shoreditch,N1,£650pcm,£150pw,flat,,5,,,"Flat share N1, large single available now",offered,False,2020-01-27 02:47:34.811272
live in landlord,Available Now,bold,19,,9401773,Vauxhall,SE11,£650pcm,£150pw,flat,,3,,,Double room to let in Vauxhall,offered,False,2020-01-27 02:47:34.811272
current flatmate,Available Now,bold,20,,13017124,Elephant and Castle,SE17,£650pcm,£150pw,flat,,3,,,Lovely double bedroom 4 rent near Borough Zone1,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,23,,13085131,Angel,EC1,£650pcm,£150pw,flat,,5,,,2 Single rooms (Angel + Barbican) from £150pw*,offered,False,2020-01-27 02:47:34.811272
current flatmate,Available Now,free,0,Early Bird,13896880,Shoreditch,N1,£640pcm,£148pw,flat,,2,,new,"Cosy double room, Shoreditch, garden and patio",offered,False,2020-01-27 02:47:34.811272
live in landlord, 1 Feb,free,0,Early Bird,11977183,King's Cross,N1,£650pcm,£150pw,flat,,2,,new,Bright room in small flat near Kings Cross,offered,False,2020-01-27 02:47:34.811272
live in landlord,Available Now,free,0,Early Bird,11257009,London Bridge,SE1,£650pcm,£150pw,flat,,2,,new,Move in Straight Away. Call meme to viewing.,offered,False,2020-01-27 02:47:34.811272
live out landlord,Available Now,free,1,Early Bird,8130355,Old Kent Road,SE1,£660pcm,£153pw,house,,4,,new,A Private Ensuite Double Bedroom,offered,False,2020-01-27 02:47:34.811272
current flatmate, 1 Feb,free,2,Early Bird,4866602,Notting Hill Gate,W11,£650pcm,£150pw,flat,,2,,new,Large comfortable single room,offered,False,2020-01-27 02:47:34.811272
current flatmate,22 Feb,free,2,Early Bird,14523031,Southwark,SE1,£650pcm,£150pw,flat,,2,,new,Lovely cozy room in Zone 1,offered,False,2020-01-27 02:47:34.811272
