advertiser-role,available,brand,days-old,early-bird,id,neighbourhood,postcode,price-per-month,price-per-week,property-type,property-type-more,rooms-in-property,scp,status,title,type,error,date scraped
current flatmate, 2 Feb,free,22,,8899306,Balham,SW12,£704pcm,£163pw,house,,4,,,1 double room available in lovely Balham house,offered,False,2020-01-27 02:47:34.811272
former flatmate,Available Now,free,22,,10436428,Walthamstow,E17,£700pcm,£162pw,house,,3,,,"2x light, spacious double rooms",offered,False,2020-01-27 02:47:34.811272
live in landlord,Available Now,free,22,,11208217,Earlsfield,SW18,£700pcm,£162pw,house,,3,,,Db Room in a stunning family house in Earlsfield ,offered,False,2020-01-27 02:47:34.811272
live in landlord, 1 Feb,free,23,,9336892,Putney,SW15,£700pcm,£162pw,flat,,2,,,Large Double Bedroom In Putney/Roehampton.,offered,False,2020-01-27 02:47:34.811272
current flatmate,Available Now,free,23,,14127202,Southfields,SW19,£694pcm,£160pw,flat,,3,,,***Sublet in Southfields***,offered,False,2020-01-27 02:47:34.811272
live out landlord,14 Feb,free,23,,9747556,Forest Hill,SE23,£650- £700pcm,£150- £162pw,flat,,2,,,High on the Hill,offered,False,2020-01-27 02:47:34.811272
live in landlord,Available Now,free,24,,14357977,London NW2,NW2,£697pcm,£161pw,flat,,2,,,Garden Flat,offered,False,2020-01-27 02:47:34.811272
current flatmate,Available Now,free,24,,12450760,Honor Oak Park,SE23,£700pcm,£162pw,flat,,2,,,Cozy Double room in South East London! No Deposit,offered,False,2020-01-27 02:47:34.811272
current flatmate,Available Now,free,24,,14220502,West Norwood,SE27,£694pcm,£160pw,flat,,2,,,Double Bedroom ,offered,False,2020-01-27 02:47:34.811272
current flatmate,Available Now,free,24,,12253501,Acton Town,W5,£700pcm,£162pw,property,,2,,,Flat mate wanted 2 bed flat in Acton Town,offered,False,2020-01-27 02:47:34.811272
live in landlord,Available Now,free,24,,5297431,Mortlake,SW14,£700pcm,£162pw,flat,,2,,,Double room,offered,False,2020-01-27 02:47:34.811272
live out landlord,31 Jan,free,24,,14312452,London E13,E13,£700pcm,£162pw,flat,,3,,,1 Double Bedroom For Rent ,offered,False,2020-01-27 02:47:34.811272
live out landlord,Available Now,free,25,,14323576,South Ealing,W5,£600- £700pcm,£139- £162pw,house,,5,,,Large rooms in a townhouse in South Ealing,offered,False,2020-01-27 02:47:34.811272
live in landlord,Available Now,free,25,,2648724,Chiswick,W4,£700pcm,£162pw,flat,,2,,,Monday to Friday Let - Double Room 700pcm Inc,offered,False,2020-01-27 02:47:34.811272
live in landlord,Available Now,free,25,,14075356,Cricklewood,NW2,£585- £785pcm,£135- £182pw,house,,4,,,Rooms In Family Home,offered,False,2020-01-27 02:47:34.811272
live out landlord,Available Now,free,26,,4488687,Wimbledon,SW19,£695pcm,£161pw,house,,4,,,New Refurbished Double Room - Bills Included,offered,False,2020-01-27 02:47:34.811272
current flatmate,Available Now,free,27,,2198553,Barnes Bridge,SW13,£700pcm,£162pw,flat,,3,,,1 Double Room in a sunny house share in Barnes,offered,False,2020-01-27 02:47:34.811272
live out landlord,Available Now,free,27,,2317776,Tooting Broadway,SW17,£700- £850pcm,£162- £197pw,flat,,12,,,"***En-suite Rooms,Tooting,avail-1.1.2020*",offered,False,2020-01-27 02:47:34.811272
current flatmate,Available Now,free,27,,14260879,Greenwich,SE3,£708pcm,£164pw,flat,,2,,,GORGEOUS newly decorated flat in Greenwich,offered,False,2020-01-27 02:47:34.811272
live out landlord, 1 Mar,free,28,,14145586,Cricklewood,NW2,"£4,780 pcm",£1pw,house,,6,Y,,"Cricklewood, Fabulous House 2 Minutes from Station",offered,False,2020-01-27 02:47:34.811272
live out landlord,19 Mar,bold,0,,6375466,Walthamstow Central,E17,£600- £725pcm,£139- £168pw,house,,6,,new,Professional House Share (E17 CARD -3),offered,False,2020-01-27 02:47:34.811272
live in landlord,Available Now,free,0,,1137499,Acton,W3,£700pcm,£162pw,property,,3,,new,Mon - Fri - Large Single Room let ~ Acton W3,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,featured,0,,14519476,Acton,W3,£700- £850pcm,£162- £197pw,flat,,5,,new,Largest rooms in Acton,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,0,,14537008,Ealing,W7,£725- £800pcm,£168- £185pw,house,,6,,new today,Two Rooms Available in Great House !,offered,False,2020-01-27 02:47:34.811272
live out landlord,Available Now,bold,0,,14536618,Finsbury Park,N4,£750 pcm,£174pw,flat,studio flat,1,Y,new today,Studio furnished Stroud Green Road ,offered,False,2020-01-27 02:47:34.811272
agent, 6 Feb,bold,0,,13769167,Ealing,W13,£700- £825pcm,£162- £191pw,flat,,4,,new today,Stunning brand new flat in need of professionals,offered,False,2020-01-27 02:47:34.811272
current flatmate,Available Now,bold,1,,14533801,Northfields,W13,£530- £730pcm,£123- £169pw,house,,3,,new today,"Large Double & Single Rooms in Northfields, Ealing",offered,False,2020-01-27 02:47:34.811272
agent, 3 Feb,bold,0,,14466532,Ealing Common,W5,£725pcm,£168pw,house,,5,,boosted,Amazing double room in professional house,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,1,,14533132,Walthamstow,E17,£750pcm,£174pw,house,,5,,new today,Large Triple Room in Walthamstow,offered,False,2020-01-27 02:47:34.811272
live in landlord, 1 Feb,bold,1,,4328314,Colliers Wood,SW19,£750pcm,£174pw,house,,3,,new today,"""Safe Haven"" for a single professional female",offered,False,2020-01-27 02:47:34.811272
current flatmate,28 Feb,free,0,Early Bird,14541772,Silvertown,E16,£725pcm,£168pw,flat,,2,,new today,2 bedroom flat @ silvertown,offered,False,2020-01-27 02:47:34.811272
live in landlord,Available Now,free,0,Early Bird,8561023,Tooting,SW17,£750pcm,£174pw,house,,3,,new today,Bright double room overlooking the garden ,offered,False,2020-01-27 02:47:34.811272
current flatmate,17 Feb,free,0,Early Bird,14536291,Catford,SE6,£750pcm,£174pw,flat,,2,,new today,Central London in 20 mins ,offered,False,2020-01-27 02:47:34.811272
live out landlord,9 Feb,featured,0,,14534854,Hither Green,SE6,£750- £900pcm,£174- £208pw,house,,6,,new,Newly Renovated House all En-suite Rooms + Lounge,offered,False,2020-01-27 02:47:34.811272
live in landlord,Available Now,bold,0,,12485095,Acton,W3,£750pcm,£174pw,house,,3,,new,Large Bright and Clean Double Room ,offered,False,2020-01-27 02:47:34.811272
live out landlord,Available Now,bold,0,,723109,Chiswick,W4,"£750- £1,200pcm",£174- £277pw,flat,,3,,new,Ensuite &D Rooms  close to Chiswick Business park ,offered,False,2020-01-27 02:47:34.811272
live in landlord, 4 Feb,bold,0,,908576,Hither Green,SE13,£745pcm,£172pw,flat,,2,,new,Light airy double bedroom with private bathroom.,offered,False,2020-01-27 02:47:34.811272
former flatmate,Available Now,bold,0,,14405329,Raynes Park,SW20,£564- £737pcm,£130- £170pw,flat,,4,,new,Nice En-Suite Bedrooms Near Wimbledon Chase,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,0,,14532958,Kilburn,NW2,£690- £800pcm,£160- £185pw,flat,,4,,new,Deal of the Day  2 Rooms Super Cheap,offered,False,2020-01-27 02:47:34.811272
live in landlord,Available Now,bold,0,,13984093,Streatham Common,SW16,£650- £746pcm,£150- £172pw,flat,,4,,new,"Bedrooms / SW16, Amazon Music, 2 Bathrooms,Netflix",offered,False,2020-01-27 02:47:34.811272
live out landlord,Available Now,bold,0,,14221858,Forest Hill,SE23,£725pcm,£168pw,house,,4,,new,Lovely double ensuite Very close to Station,offered,False,2020-01-27 02:47:34.811272
live out landlord,Available Now,bold,0,,9272146,Bowes Park,N22,£750pcm,£174pw,house,,4,,new,N22WoodGreen BowesPark large en-suite double ✅  ,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,0,,14247232,Turnpike Lane,N8,"£1,500 pcm",£1pw,house,,2,Y,new,Two bedroom flat to rent in Turnpike Lane,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,0,,14525128,Lea Bridge,E10,"£1,452pcm",£335 pw,flat,,2,Y,new,Amazing 2/3 bedroom apartment in superb condition,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,featured,2,,14501011,Chiswick,W4,£675- £775pcm,£156- £179pw,flat,,4,,new,"Superb Modern Doubles by the River - Chiswick , W4",offered,False,2020-01-27 02:47:34.811272
current flatmate,Available Now,bold,0,,11779651,Ealing,W5,£750pcm,£174pw,flat,,2,,new,Room to let  Ealing W5,offered,False,2020-01-27 02:47:34.811272
live out landlord, 1 Mar,bold,0,,12799477,Chiswick,W4,£750pcm,£174pw,flat,,3,,new,Spacious Bedroom in Modern Flat in Chiswick,offered,False,2020-01-27 02:47:34.811272
live out landlord, 9 Feb,bold,0,,14534854,Hither Green,SE6,£750- £900pcm,£174- £208pw,house,,6,,new,Newly Renovated House all En-suite Rooms + Lounge,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,0,,9476524,Turnpike Lane,N15,£675- £775pcm,£156- £179pw,house,,7,,new,TWO Rooms becoming available Call Now,offered,False,2020-01-27 02:47:34.811272
live in landlord,Available Now,bold,0,,5038420,Southfields,SW18,£750pcm,£174pw,flat,,4,,new,Double room with Mediterranean garden,offered,False,2020-01-27 02:47:34.811272
live in landlord,30 Jan,bold,0,,13564306,Southfields,SW19,£750pcm,£174pw,flat,,2,,new,Double room available next to Wimbledon Commons,offered,False,2020-01-27 02:47:34.811272
live out landlord,Available Now,bold,0,,14455951,Woolwich,SE18,£750pcm,£174pw,house,,5,,new,Large Double Bedroom | Newly Decorated House ,offered,False,2020-01-27 02:47:34.811272
current flatmate, 2 Mar,bold,0,,14459380,Bounds Green,N11,£725pcm,£168pw,flat,,2,,new,"Large, Bright Double Room *5min from Bounds Green*",offered,False,2020-01-27 02:47:34.811272
live out landlord, 1 Mar,bold,0,,14456608,Harlesden,NW10,£730pcm,£169pw,flat,,2,,new,Unfurnished double room in lovely NW10 flat share,offered,False,2020-01-27 02:47:34.811272
live out landlord, 8 Feb,bold,0,,12101119,Hendon Central,NW4,£724pcm,£167pw,house,,6,,new,Large double room in newly refurbished house,offered,False,2020-01-27 02:47:34.811272
live out landlord,29 Jan,featured,0,,14435791,Earlsfield,SW18,£737pcm,£170pw,flat,,4,,new,SW19 6Sn-Southfields-2 Lovely Double Rooms Bills I,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,0,,14532718,Acton,W3,"£725- £1,000pcm",£168- £231pw,house,,4,,new,Close to Acton Main Line Station,offered,False,2020-01-27 02:47:34.811272
live out landlord,Available Now,bold,0,,4477986,Ealing Common,W5,£725pcm,£168pw,flat,,4,,new,Huge room in friendly flat near tube,offered,False,2020-01-27 02:47:34.811272
live out landlord,Available Now,bold,0,,8650951,Streatham Common,SW16,£700- £750pcm,£162- £174pw,house,,5,,new,Superb House in Sw London - All Bills Included!,offered,False,2020-01-27 02:47:34.811272
agent, 5 Feb,bold,0,,14006830,Cricklewood,NW2,£750pcm,£174pw,flat,,4,,new,Large Double Opposite Station,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,0,,14242558,Acton,W3,"£700- £1,100pcm",£162- £254pw,property,,6,,new,Mini-mansion in the heart of Acton,offered,False,2020-01-27 02:47:34.811272
live in landlord,Available Now,bold,0,,11549524,West Dulwich,SE21,£575- £750pcm,£133- £174pw,house,,4,,new,2 Seperate Rooms Available in West Dulwich House ,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,0,,14519476,Acton,W3,£700- £850pcm,£162- £197pw,flat,,5,,new,Largest rooms in Acton,offered,False,2020-01-27 02:47:34.811272
current flatmate,Available Now,bold,0,,367974,Ealing,W13,£680- £750pcm,£157- £174pw,house,,5,,new,"Double Rooms, Large Lounge, Clean Friendly Home!",offered,False,2020-01-27 02:47:34.811272
live in landlord,Available Now,bold,0,,13085770,London SW16,SW16,£700- £750pcm,£162- £174pw,flat,,5,,new,2 rooms in a welcoming 5 bedroom House/ shortlet,offered,False,2020-01-27 02:47:34.811272
current flatmate,29 Jan,bold,0,,4178204,Brent Cross,NW11,£737pcm,£170pw,house,,3,,new,Spacious Double Room,offered,False,2020-01-27 02:47:34.811272
live out landlord,Available Now,featured,9,,3811781,Plaistow,E13,£750pcm,£174pw,house,,4,,,Semi-studio. Double Bdrm + private lounge ,offered,False,2020-01-27 02:47:34.811272
agent, 2 Feb,bold,0,,7770739,Wood Green,N22,£737pcm,£170pw,house,,6,,new,Large double room in Wood Green | Bills incl.,offered,False,2020-01-27 02:47:34.811272
agent,29 Feb,bold,0,,14501323,Tooting Broadway,SW17,£750pcm,£173pw,flat,,3,,new,Double Room In A 3 Bedroom Flat - Tooting Broadway,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,0,,14538019,Leyton,E10,£672- £759pcm,£155- £175pw,house,,5,,new,Double & Ensuite rooms available for rent  Leyton,offered,False,2020-01-27 02:47:34.811272
live in landlord,Available Now,bold,0,,7394515,Leytonstone,E11,£750pcm,£174pw,house,,5,,new,Large Double Room in Friendly Houseshare,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,0,,14413195,Tottenham,N17,£750pcm,£174pw,flat,,3,,new,3 En-Suite's + All Inclusive + Cleaning ,offered,False,2020-01-27 02:47:34.811272
agent,10 Feb,bold,0,,11996617,Manor House,N4,£750pcm,£174pw,property,,12,,new,10 mins Manor house tube station,offered,False,2020-01-27 02:47:34.811272
live out landlord,Available Now,bold,0,,10347997,Seven Sisters,N15,£750pcm,£174pw,flat,,2,,new,Ros,offered,False,2020-01-27 02:47:34.811272
agent,17 Feb,bold,0,,14480089,Southfields,SW18,£725pcm,£168pw,flat,,4,,new,Amazing Room in Great House in Southfields,offered,False,2020-01-27 02:47:34.811272
current flatmate,Available Now,bold,0,,8310886,Tooting Broadway,SW17,£750pcm,£174pw,house,,3,,new,Double Room Just 2 Min to Tooting Broadway St,offered,False,2020-01-27 02:47:34.811272
live in landlord,16 Feb,bold,0,,14513713,Stratford,E15,£750pcm,£174pw,house,,2,,new,Large double bedroom in Stratford/Leyton ,offered,False,2020-01-27 02:47:34.811272
live out landlord,Available Now,featured,0,,9272146,Bowes Park,N22,£750pcm,£174pw,house,,4,,new,N22WoodGreen BowesPark large en-suite double ✅  ,offered,False,2020-01-27 02:47:34.811272
former flatmate,15 Feb,bold,0,,14478256,Southfields,SW19,£730pcm,£169pw,house,,5,,new,Bright spacious double in a great house,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,0,,14518321,Stamford Hill,N16,"£1,495pcm",£345 pw,flat,,2,Y,new,Stamford Hill**2 Double Bedroom Flat**,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,0,,14526199,London NW2,NW2,£737pcm,£170pw,flat,,6,,new,Double single use in amazing house,offered,False,2020-01-27 02:47:34.811272
live out landlord, 6 Feb,bold,0,,14391364,London E13,E13,£700- £850pcm,£162- £197pw,house,,6,,new,Newly renovated luxury rooms ,offered,False,2020-01-27 02:47:34.811272
agent,12 Mar,bold,0,,14470957,Tooting Broadway,SW17,£739pcm,£171pw,house,,4,,new,*Big DBL RM near St George's Hospital*,offered,False,2020-01-27 02:47:34.811272
live out landlord,Available Now,bold,0,,14397289,Roehampton,SW15,£520- £780pcm,£120- £180pw,flat,,5,,new,New! Twin and Single Rooms  Roehampton University ,offered,False,2020-01-27 02:47:34.811272
agent, 6 Feb,bold,0,,14477155,Tooting Broadway,SW17,£739- £749pcm,£171- £173pw,house,,4,,new,"*2 Big Rooms, All Bills W/ Lounge!*",offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,0,,8188678,Putney Heath,SW15,£650- £737pcm,£150- £170pw,flat,,4,,new,SW15 5Ns-Lovely Double & Single Room-All Bills Inc,offered,False,2020-01-27 02:47:34.811272
live out landlord,29 Jan,bold,0,,14435791,Earlsfield,SW18,£737pcm,£170pw,flat,,4,,new,SW19 6Sn-Southfields-2 Lovely Double Rooms Bills I,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,0,,7471192,Stratford,E15,£737pcm,£170pw,flat,,5,,new,Stratford 10 Min Walk/ Couples/Friends! Cozy Room!,offered,False,2020-01-27 02:47:34.811272
live out landlord,10 Feb,featured,6,,14460667,Streatham Hill,SW16,£750pcm,£174pw,flat,,2,,new,Double room in lovely flat in Streatham Hill,offered,False,2020-01-27 02:47:34.811272
live out landlord,Available Now,bold,1,,12710146,Willesden,NW10,£650- £750pcm,£150- £174pw,property,,9,,new,Creative live / work rooms in Willesden Green ware,offered,False,2020-01-27 02:47:34.811272
live out landlord,Available Now,bold,1,,7878013,Streatham Common,SW16,£750pcm,£174pw,flat,,4,,new,Dbl room - Modern and Clean 2 mins from station  ,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,1,,14053072,London N3,N3,"£3,684pcm",£850 pw,house,,5,Y,new,Refurbished Luxury 5 Bed / 3 Bath House N2,offered,False,2020-01-27 02:47:34.811272
live in landlord, 1 Feb,bold,1,,14319862,Crystal Palace,SE19,£750pcm,£174pw,flat,,2,,new,*ALERT * Lovely Bright Double for Rent ,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,1,,14172697,Putney,SW15,£737pcm,£170pw,house,,6,,new,Modern Putney  townhouse + Free Gym Access!,offered,False,2020-01-27 02:47:34.811272
live out landlord,Available Now,bold,1,,4423159,Herne Hill,SE24,£750pcm,£173pw,house,,5,,new,Lovely large double room in 5 bed house,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,1,,14290354,Ealing,W5,£737- £910pcm,£170- £210pw,house,,12,,new,Lrg Dbles + Ensuite in Mansion+Couples Welcome!,offered,False,2020-01-27 02:47:34.811272
current tenants, 1 Feb,bold,1,,14491975,Tooting Broadway,SW17,"£1,500 pcm",£1pw,flat,,2,Y,new,2 Bed Flat in the Heart of Tooting !!,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,1,,13602118,Turnpike Lane,N15,£668- £841pcm,£154- £194pw,flat,,4,,new,✨ Lovely Doubles Piccadilly Line !!!,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,1,,14516515,Chiswick Park,W4,£675- £800pcm,£156- £185pw,flat,,4,,new,Belgrave,offered,False,2020-01-27 02:47:34.811272
live out landlord,16 Feb,featured,2,,4691037,Stamford Hill,N15,£725pcm,£168pw,house,,5,,new,Lovely Large Bright Double Room in a Lovely House,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,1,,12355060,London N17,N17,£733pcm,£169pw,flat,,4,,new,4 Bedroom House with Large Garden Dss Accepted,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,1,,9107644,Hendon Central,NW4,£750- £800pcm,£174- £185pw,house,,7,,new,Fantastic 6 Bedrooms House Shared Available SePT28,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,1,,14500711,Mitcham,CR4,£625- £750pcm,£145- £174pw,house,,3,,new,Three Double Bedrooms To Rent in Mitcham,offered,False,2020-01-27 02:47:34.811272
live in landlord,Available Now,bold,1,,10197853,London SE7,SE7,£585- £759pcm,£135- £175pw,flat,,3,,new,Historical greenwich,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,1,,14476531,West Ealing,W13,£725- £800pcm,£168- £185pw,house,,4,,new,Spacious Rooms in Need of Housemates ,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,1,,13771258,Cricklewood,NW2,£737pcm,£170pw,house,,2,,new,Cricklewood-10'to Kilburn-Double Room Available **,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,1,,14497699,West Ealing,W13,£750- £800pcm,£174- £185pw,house,,6,,new,Two Rooms Available in Great House !,offered,False,2020-01-27 02:47:34.811272
former flatmate,Available Now,bold,1,,14453914,Ealing,W5,£750pcm,£174pw,flat,,3,,new,Amazing double in Ealing available now ,offered,False,2020-01-27 02:47:34.811272
live in landlord,Available Now,bold,1,,14357713,London W3,W3,£700- £750pcm,£162- £174pw,house,,4,,new,Spacious room in Hangerhill Garden Estate,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,1,,13091602,Seven Sisters,N15,£750pcm,£174pw,flat,,4,,new,Available Room - Spacious - Great Location,offered,False,2020-01-27 02:47:34.811272
live in landlord,Available Now,featured,7,,3331522,Hendon,NW4,£650- £800pcm,£150- £185pw,house,,4,,,Bright and spacious rooms (en-suite and db-room) ,offered,False,2020-01-27 02:47:34.811272
agent, 4 Feb,bold,1,,10012771,Willesden Junction,NW10,£672- £780pcm,£155- £180pw,flat,,7,,new, 1 Dbl Twin close to Willesden Juction,offered,False,2020-01-27 02:47:34.811272
live out landlord,Available Now,bold,2,,14419801,Chiswick,W4,£737pcm,£170pw,flat,,4,,new,Big double room on chiswick high road ,offered,False,2020-01-27 02:47:34.811272
agent,11 Feb,bold,1,,11970802,London NW10,NW10,£694- £850pcm,£160- £196pw,flat,,5,,new,Lovely Double room close to Dollis Hill - NW10,offered,False,2020-01-27 02:47:34.811272
live out landlord,16 Feb,bold,2,,4691037,Stamford Hill,N15,£725pcm,£168pw,house,,5,,new,Lovely Large Bright Double Room in a Lovely House,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,2,,14501011,Chiswick,W4,£675- £775pcm,£156- £179pw,flat,,4,,new,"Superb Modern Doubles by the River - Chiswick , W4",offered,False,2020-01-27 02:47:34.811272
agent,31 Jan,bold,2,,14515540,Acton,W3,£650- £850pcm,£150- £197pw,house,,5,,new,+++Luxury Double Rooms In Acton/ Bills included,offered,False,2020-01-27 02:47:34.811272
current flatmate,29 Jan,bold,2,,14530321,South Ealing,W5,£750pcm,£174pw,house,,3,,new,Large Double in Friendly House *Avail 29th Jan*,offered,False,2020-01-27 02:47:34.811272
live in landlord,Available Now,bold,2,,7550248,West Ealing,W13,£750pcm,£174pw,house,,4,,new,Ensuite Large Double Room Near West Ealing Station,offered,False,2020-01-27 02:47:34.811272
agent, 4 Feb,bold,2,,14521345,Streatham,SW16,£750pcm,£174pw,flat,,4,,new,Large Double in Friendly Flat - 2 months only,offered,False,2020-01-27 02:47:34.811272
live out landlord,Available Now,bold,2,,6431230,Turnpike Lane,N8,"£1,400 pcm",£1pw,flat,,2,Y,new,2 Bedroom Apartment - Turnpike Lane N8  ,offered,False,2020-01-27 02:47:34.811272
former flatmate,Available Now,featured,1,,14453914,Ealing,W5,£750pcm,£174pw,flat,,3,,new,Amazing double in Ealing available now ,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,2,,14453140,London N17,N17,"£1,500 pcm",£1pw,flat,,2,Y,new,Newly Refurbished 2 Bedroom in Tottenham W/Garden,offered,False,2020-01-27 02:47:34.811272
current flatmate,Available Now,bold,2,,14497057,London N15,N15,£670- £860pcm,£155- £199pw,flat,,5,,new,En Suite and Double Room available in a big house!,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,2,,14094337,Tottenham Hale,N17,£490- £745pcm,£114- £172pw,flat,,4,,new,// 3  Rooms in Tottenham Hale - Couples Welcome - ,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,2,,14302720,London E16,E16,£725pcm,£168pw,flat,,3,,new,3 Large Bedrooms - New Build/Gym/Sauna/Balcony,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,2,,14094538,Cricklewood,NW2,£672- £858pcm,£156- £198pw,house,,6,,new,// 2 Spaciouse Double Rooms Now,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,2,,14465350,Childs Hill,NW2,£700- £800pcm,£162- £185pw,flat,,3,,new,*** 3 rooms***,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,2,,14509480,Turnpike Lane,N15,£672- £815pcm,£156- £189pw,flat,,4,,new,// 2 Double Rooms - Couple Welcome - N15,offered,False,2020-01-27 02:47:34.811272
agent, 1 Feb,bold,2,,9238585,Wimbledon,SW19,£750pcm,£174pw,house,,4,,new,"Wimbledon V Large Room, 2 Min Tube/Tr, Loung Gdn",offered,False,2020-01-27 02:47:34.811272
live in landlord,Available Now,bold,2,,2434649,Chiswick,W4,£750pcm,£174pw,flat,,2,,new,Double + own bathroom - near river in Chiswick,offered,False,2020-01-27 02:47:34.811272
agent,20 Feb,bold,2,,14499688,Hendon,NW4,£725pcm,£168pw,property,,5,,new,Double Ensuite Room to Rent in Hendon,offered,False,2020-01-27 02:47:34.811272
live in landlord,Available Now,featured,13,,13818109,Grove Park,W4,£750pcm,£174pw,house,,5,,,Large Double Room with en-suite ,offered,False,2020-01-27 02:47:34.811272
current flatmate, 1 Feb,bold,2,,8654170,Acton,W3,£745pcm,£172pw,house,,5,,new,Double bedroom with fortnightly cleaner ,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,2,,14481064,Turnpike Lane,N8,"£1,500 pcm",£1pw,property,,2,Y,new,Spacious split level two bed flat with garden N8,offered,False,2020-01-27 02:47:34.811272
agent,23 Mar,bold,2,,14526535,Turnpike Lane,N15,£607- £823pcm,£141- £190pw,flat,,6,,new,//3 Rroms in Turnpike Lane - Couple Welcome ,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,2,,14526409,Manor Park,E12,£600- £800pcm,£139- £185pw,house,,8,,new,6 Large En suite Double Rooms,offered,False,2020-01-27 02:47:34.811272
current flatmate,10 Feb,bold,2,,5483407,Wood Green,N22,£750pcm,£174pw,house,,5,,new,Large Double 750£ Pm All Bills Incl + Cleaner!,offered,False,2020-01-27 02:47:34.811272
agent,23 Feb,bold,2,,12376195,Wimbledon,SW19,£750pcm,£174pw,house,,6,,new,"Fab double room in fab, friendly house!",offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,2,,14526262,Childs Hill,NW2,£750pcm,£174pw,flat,,4,,new,**** Modern Rooms***,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,2,,12551812,Archway,N19,£750pcm,£174pw,house,,5,,new,King Size Room (Garden) Price Reduced!,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,2,,14173453,Balham,SW12,£737pcm,£170pw,flat,,5,,new,Double Bedroom Available in Balham Station,offered,False,2020-01-27 02:47:34.811272
agent, 3 Mar,bold,2,,12704995,Chiswick,W4,£725pcm,£168pw,flat,,4,,new,Double room with shared balcony available March,offered,False,2020-01-27 02:47:34.811272
agent,5 Feb,featured,0,,14006830,Cricklewood,NW2,£750pcm,£174pw,flat,,4,,new,Large Double Opposite Station,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,2,,14523997,Willesden Green,NW2,£542- £780pcm,£125- £180pw,house,,5,,new,Brand New House in Willesden Green ,offered,False,2020-01-27 02:47:34.811272
agent,14 Feb,bold,2,,13671817,Streatham,SW16,£725pcm,£168pw,flat,,4,,new,Double Room - Streatham Hill - All Bills Included,offered,False,2020-01-27 02:47:34.811272
live out landlord,24 Feb,bold,2,,14525752,Walthamstow,E17,£735pcm,£170pw,house,,6,,new,En-suite room in Walthamstow,offered,False,2020-01-27 02:47:34.811272
live out landlord,Available Now,bold,3,,3868052,Cricklewood,NW2,£695- £760pcm,£161- £176pw,house,,5,,new,Spacious double rooms in shared house,offered,False,2020-01-27 02:47:34.811272
live in landlord,15 Apr,bold,3,,2620687,Forest Gate,E7,£475- £800pcm,£110- £185pw,house,,6,,new,Beautiful Single & Double Bedrooms (ref HP),offered,False,2020-01-27 02:47:34.811272
live in landlord,15 Feb,bold,3,,13525960,Blackheath,SE13,£700- £725pcm,£162- £168pw,flat,,3,,new,Homely rooms to let short walk from Blackheath,offered,False,2020-01-27 02:47:34.811272
live out landlord, 7 Jun,bold,3,,10995535,Manor Park,E12,£575- £850pcm,£133- £197pw,flat,,5,,new,Rooms available in luxury apartment.,offered,False,2020-01-27 02:47:34.811272
